run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 2 218 179.511 43.7617 -260.15 -19.4346
1 6 1029 522.014 375.627 -270.979 -248.012
1 4 713 318.294 133.307 -374.62 -37.2041
1 78 15483 -353.608 -67.3537 183.244 49.1076
1 153 30527 -332.896 -85.793 313.368 240.902
1 57 11241 560.113 253.293 -667.552 -447.853
1 73 14576 94.0283 -31.9052 -87.5253 -67.4407
1 83 16495 133.596 169.073 -201.655 -61.5347
1 128 25489 612.32 76.303 -539.142 -43.9147
1 147 29331 675.365 226.127 -408.208 -95.4469
1 196 39019 33.0732 44.7952 -26.7273 -43.4269
1 27 5239 1146.28 167.2 -787.139 -107.835
1 118 23473 352.95 141.905 -188.872 -65.9769
1 168 33458 -312.181 -124.621 219.275 109.255
1 193 38520 -346.006 -208.503 389.529 68.3643
1 213 42536 399.735 227.032 -280.379 -300.812
