run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 479 1408720 0.154707 0.130589 0.282362 0.0550231
1 1063 3124191 0.227693 0.0803595 0.114128 0.138295
1 8271 24326746 0.253597 0.192604 0.247722 0.0891971
1 8142 23946484 0.143194 0.287219 0.426656 0.0746316
1 1856 5456837 0.0640659 0.299499 0.302839 0.338741
1 3282 9653270 0.0790788 0.0710325 0.223919 0.0875408
1 6814 20040654 0.0938755 0.207231 0.182709 0.15837
1 12148 35726970 0.427017 0.130231 0.264953 0.134054
1 12148 35727460 0.100359 0.210491 0.255151 0.121621
1 12148 35729724 0.391583 0.14167 0.0895351 0.170159
1 17393 51155620 0.114928 0.255046 0.0808093 0.0823071
1 15009 44142494 0.110022 0.0602999 0.0939061 0.177681
1 17120 50353486 0.0824537 0.125953 0.329526 0.0968889
1 474 1395113 0.255544 0.157656 0.0844732 0.060544
1 1061 3118761 0.184645 0.0645947 0.318898 0.373267
1 1225 3601114 0.121107 0.272695 0.104831 0.0989418
1 1225 3602543 0.405532 0.0753293 0.102972 0.310203
1 1405 4130296 0.323539 0.30255 0.306869 0.0695025
1 7067 20784877 0.163693 0.068391 0.0322678 0.24719
1 13064 38422484 0.178981 0.0826067 0.142777 0.0758369
1 16575 48749999 0.247647 -10 0.42805 0.277818
1 8057 23696269 0.33086 0.168256 0.226808 0.345631
1 1637 4812269 0.140241 0.284599 0.133672 0.257668
1 6835 20100605 0.374989 0.181796 0.163214 0.0572684
1 1690 4969827 0.0923606 0.347621 0.174784 0.0748232
1 2523 7418822 0.108979 0.291752 0.0735431 0.0894353
1 2523 7420370 0.342861 0.114088 0.166381 0.324802
1 18567 54608879 0.130794 0.06578 0.180068 0.271967
1 2970 8735759 0.251406 0.144071 0.137951 0.0666202
1 3979 11702694 0.204611 0.0743397 0.143861 0.224706
1 12097 35577920 0.310005 0.0651251 0.111332 0.33041
1 13986 41134995 0.242319 0.0649301 0.242778 0.140781
1 15076 44339663 0.313323 0.059835 0.147418 0.0987635
1 17891 52620571 0.18464 0.0984223 0.0998644 0.100809
1 14281 42000041 0.270188 0.199176 0.32683 0.341487
1 14298 42051360 0.114165 0.0964683 0.0639948 0.152782
1 15462 45474973 0.445202 0.421575 0.143392 0.0783264
1 15859 46643250 0.234649 0.312776 0.151348 0.434784
1 16436 48339253 0.361298 0.13593 0.0657227 0.339296
1 16786 49370565 0.154642 0.073364 0.0627482 0.0648532
1 18702 55005699 0.367869 0.153797 0.0617469 0.0978218
1 17394 51158896 0.0646151 0.103775 0.392244 0.0698041
1 18107 53256393 0.12425 0.117348 0.170975 0.182563
1 18089 53201369 0.147084 0.103463 0.0576429 0.140018
1 18021 53001351 -10 -10 0.22615 0.0738397
1 20086 59075654 0.25781 0.0824772 0.340996 0.360863
1 12245 36013529 0.153123 0.263071 0.279684 0.294921
1 13307 39137528 0.409036 0.178636 0.122024 0.0661174
1 14354 42215847 0.365514 -10 0.072198 0.190349
1 15698 46171129 0.230325 0.309703 0.15308 0.452065
1 15426 45369961 0.275303 0.148242 0.142035 0.131887
1 18720 55057333 0.118851 0.111384 0.382025 0.327045
1 16949 49850316 0.136097 0.065218 0.086084 0.153889
1 17925 52718576 0.0718395 0.246736 0.140731 -10
1 17887 52607146 0.163772 0.107289 0.186174 0.0768856
1 18454 54275653 0.16132 0.0713348 0.215352 0.0710228
1 18919 55642905 0.200241 0.102099 0.227544 0.131487
1 19909 58554723 0.391543 0.309011 0.329986 0.116944
1 19909 58555481 0.131118 0.0817118 0.135401 0.390819
1 11008 32375218 0.126481 0.209488 0.0764596 0.289183
1 11008 32375716 0.123409 0.403147 0.413469 0.103402
1 11250 33088588 0.163052 0.165573 0.206101 0.0817664
1 12337 36283559 0.263126 0.113541 0.192702 0.0916505
1 12822 37711137 0.219269 0.0719127 0.14976 0.08561
1 12836 37751864 0.157168 0.204998 0.141475 0.160526
1 14982 44064665 0.0809513 0.0693326 0.0519826 0.12685
1 16790 49380738 0.377371 0.336424 0.164686 0.105117
1 17135 50396507 0.0843787 -10 0.0788283 0.150566
1 18928 55671208 0.305908 0.154488 0.194127 0.179878
1 18934 55687728 0.0998414 0.0918793 0.148975 0.0857424
1 11024 32422247 0.0868466 0.15546 0.458428 0.0917033
1 14319 42113428 0.400399 0.131078 0.248251 0.321897
1 14319 42114081 0.182412 -10 0.153033 0.182807
1 12131 35677621 0.219508 0.389319 0.424064 0.261515
1 11650 34264404 0.167415 0.140065 0.451892 0.11915
1 12257 36048834 0.151172 -10 0.110022 0.195586
1 12257 36049137 0.262909 0.0818828 0.0960563 0.103999
1 12494 36746024 0.116312 0.193012 0.223237 0.0780451
1 12820 37703857 0.117112 0.109468 0.0974379 0.2911
1 14117 41518245 0.348558 0.281289 0.24506 0.183027
1 16101 47356213 0.358206 0.393981 0.19034 0.279904
1 15771 46385370 0.390693 0.0675785 0.417202 0.0713157
1 16287 47901841 0.165448 0.162178 0.0924772 0.148661
1 18611 54738093 0.132663 0.131747 0.187742 0.0693827
1 20003 58830436 0.152723 0.307729 0.235115 0.134095
1 20259 59584374 0.190087 0.190911 0.1958 0.423903
1 20259 59586434 0.128418 0.0724697 0.213995 0.205797
1 4985 14662542 0.124676 0.110845 0.178028 0.123798
1 3295 9690236 0.0529731 0.074571 0.186453 0.15052
1 3541 10414221 0.0877951 0.0919223 0.148332 0.177541
1 3541 10414897 0.166843 0.12463 0.0478632 0.139696
1 3562 10476068 0.15943 0.10207 0.0964059 0.395301
1 3585 10543751 0.285749 0.072476 0.444197 0.0686939
1 3865 11366557 0.208611 -10 0.0731354 0.0638642
1 6075 17865861 0.315281 0.0661848 0.304925 0.0570958
1 6574 19333821 0.320678 0.0942414 0.431158 0.0686176
1 8292 24387557 0.182093 0.231858 0.324749 0.0864429
1 15288 44965590 0.107202 0.110178 0.190371 0.417555
1 6671 19619765 0.0955289 0.0757065 0.0780824 0.0817662
1 1101 3238414 0.157684 0.170246 0.217977 0.111303
1 1235 3632141 0.33193 0.0826521 0.146671 0.31015
1 2325 6838737 0.184735 0.100384 0.294382 0.1002
1 2184 6421329 0.243685 0.17063 0.194485 0.40956
1 4234 12453245 0.137783 0.0689158 0.0880845 0.0879282
1 5797 17048342 0.130972 0.121789 0.366097 0.276374
1 6809 20024909 0.0581082 0.0721793 0.0946766 0.272374
1 8027 23608439 0.393206 0.128221 0.0427513 0.314282
1 10427 30665808 0.270775 0.0864359 0.36065 0.307251
1 10427 30667737 0.290618 0.101763 0.1481 0.182498
