run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 692 1968945 220.199 50.9026 -302.212 -101.078
1 2848 8112693 -781.972 -303.052 1014.8 141.22
1 9068 25833378 335.386 161.996 -316.969 -57.2289
1 7277 20731578 263.019 3.53481 6.02012 40.4199
1 1030 2934092 546.235 387.797 -700.201 -155.875
1 2595 7391746 1090.18 129.48 -331.648 -28.5829
1 4776 13604496 586.106 179.313 -602.739 -52.5303
1 5266 15000129 543.023 110.311 -305.508 -127.279
1 7160 20396161 -695.415 -170.803 289.83 176.342
1 9582 27296839 945.222 120.594 -788.496 -218.801
1 1742 4960742 -484.22 -259.891 340.38 129.329
1 3572 10176308 -19.5236 1.91563 -90.8988 -99.2249
1 6016 17138104 297.857 72.0534 -267.981 -84.7883
1 7045 20069304 -749.295 -94.0308 396.971 192.963
1 6715 19127871 120.018 53.8268 8.49473 -92.1862
1 6662 18976981 718.449 189.888 -567.973 -268.298
1 7322 20859066 -439.881 -27.4836 218.227 104.118
1 8372 23850410 -334.903 -252.862 452.952 125.61
1 8882 25302571 532.051 525.57 -676.044 -333.565
1 8886 25313961 616.742 195.15 -431.863 -371.222
1 1613 4593923 -821.203 -710.638 1215.6 226.532
1 7913 22543191 534.333 191.793 -482.648 -198.418
1 6347 18079495 64.2905 3.5998 -118.664 -146.854
1 6600 18801319 -830.162 -102.732 760.043 81.6171
1 6969 19851542 -699.814 -238.755 260.264 251.985
1 7040 20055254 354.223 49.0448 -364.022 -357.918
1 7003 19948902 -811.097 -136.068 361.606 377.127
1 7003 19950827 -308.124 -120.951 238.118 214.524
1 7027 20017825 -541.462 -317.829 655.322 161.485
1 7873 22429400 -169.513 -52.7344 148.43 -18.2232
1 9477 26998977 -807.775 -203.128 487.796 398.094
1 8770 24982463 412.839 107.572 -612.147 -45.4013
1 9385 26734613 567.779 427.547 -649.72 -238.565
1 3351 9545380 1201.98 150.858 -981.49 -147.783
1 4591 13078736 -106.857 -3.56053 142.496 8.03577
1 4961 14131961 841.14 115.103 -446.397 -82.9108
1 4978 14180601 754.405 347.733 -969.118 -148.984
1 8055 22946566 775.491 229.344 -692.234 -250.927
1 5086 14487240 496.63 238.484 -582.278 -149.764
1 6023 17158253 466.312 358.804 -697.966 -101.892
1 5812 16556822 677.281 425.658 -916.466 -125.453
1 5812 16557575 -271.466 -10.7637 88.3354 33.6766
1 5830 16606552 632.928 200.437 -547.138 -170.86
1 5880 16750923 -433.456 -123.361 500.498 53.8455
1 6933 19751633 -1062.3 -208.986 779.758 333.836
1 6943 19780231 -851.53 -214.111 999.68 128.161
1 7000 19941866 213.156 166.067 -219.049 -184.15
1 9007 25659254 347.829 112.489 -261.752 -159.795
1 9545 27192801 -604.726 -151.424 476.203 244.046
1 4718 13439665 -771.142 -199.596 560 121.327
1 4719 13443972 502.205 328.868 -412.155 -73.5407
1 4749 13528629 -56.9666 -40.6292 65.9129 44.693
1 6786 19331208 368.901 30.2222 -262.54 -151.158
