run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 68 13518 0.259455 0.106413 0.19385 0.165155
1 49 9640 0.4333 0.288603 0.110719 0.457674
1 2 249 0.246604 0.329748 0.425202 0.455628
1 2 272 0.109737 0.124143 0.235719 0.28452
1 138 27579 0.28871 0.248487 0.213626 0.141413
1 141 28114 0.22511 0.317791 -10 0.16617
1 177 35342 0.442559 0.43541 0.229699 0.199618
1 211 42190 0.177668 0.107231 0.266474 -10
1 191 38172 0.264026 0.109167 0.222063 -10
1 224 44611 -10 0.392811 0.1443 -10
1 51 10087 0.318435 0.342497 0.287407 0.369276
1 10 1812 0.457437 -10 0.129523 0.132506
1 212 42306 0.407594 0.217514 0.44239 -10
1 231 46127 0.403314 0.401868 0.387892 0.325784
1 23 4472 0.19977 0.422283 0.0872194 0.219715
1 86 17078 0.219586 0.202976 0.166767 0.415095
1 172 34222 0.189452 0.0562528 0.162581 0.13676
1 209 41607 -10 0.456456 0.34729 0.373667
1 208 41574 0.364817 0.404723 0.21781 0.139156
1 236 47038 -10 0.300388 0.38742 0.170134
1 47 9227 0.2612 0.0609716 0.424725 -10
1 124 24747 0.444416 0.405384 0.291133 0.447853
1 106 21003 0.217276 0.28418 0.221537 0.287402
1 121 24044 0.112081 0.184661 0.362838 0.152421
1 139 27622 0.253811 0.361306 0.378414 0.206242
1 183 36408 0.0996074 0.093427 0.263077 0.367646
1 217 43374 0.398367 0.303326 0.174461 0.26672
1 176 35024 0.207284 0.418032 0.234513 0.279999
1 186 37188 0.324999 0.445526 0.0748421 0.412571
1 244 48728 -10 0.103407 0.303018 -10
